ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65";"121354,г.Москва, ул.Кутузова, д.20";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"447-12-57";"sch65.mskzapad.ru";"school65.05@mail.ru";"37,414445";"55,722811";"86660651";
12;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 71";"121433 г.Москва, ул. Б.Филевская, д. 39, корп. 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-48-07";"";"shkola71@mail.ru";"37,477619";"55,741705";"86660652";
13;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 72";"121309 г.Москва, ул. Б.Филевская, д.15";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"145-16-48";"sch72.mskzapad.ru";"school72@gmail.com";"37,498555";"55,747623";"86660653";
14;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 73";"121108 г.Москва, ул. Кастанаевская, д.43";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 144-07-79";"sch73.mskzapad.ru";"school_n73@mail.ru";"37,467339";"55,732831";"86660654";
15;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 74";"119285 г.Москва, ул.Пырьева,дом 11";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 143-09-95";"sch74.mskzapad.ru";"sch74@rambler.ru";"37,523246";"55,727744";"86660655";
16;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 75";"121170 г.Москва, ул. Поклонная, д. 10, корпус 2";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"148-95-53";"sch75.mskzapad.ru";"school75@inbox.ru";"37,528572";"55,736769";"86660656";
17;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 79";"121357 г.Москва, ул. Артамонова, д. 2";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"445-47-35";"sch79.mskzapad.ru";"sch_79@bk.ru";"37,460409";"55,720097";"86660657";
18;"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 81";"121552 г. Москва, ул. Оршанская, д. 10, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 141-24-05";"sch81.mskzapad.ru";"sch81@inbox.ru";"37,410482";"55,74235";"86660658";
19;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 98";"121433 г. Москва, ул. Малая Филевcкая, д. 26, к. 2";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-26-65";"sch98.mskzapad.ru";"sch98zao@mail.ru";"37,46264";"55,736338";"86660659";
20;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 99";"121352, г.Москва, ул. Давыдковская, д. 14, корпус 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"449-09-10";"sch99.mskzapad.ru";"sch99@bk.ru";"37,466391";"55,723956";"86660660";
21;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 261";"121108 г.Москва, ул. Кастанаевская, д. 29, корпус 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-59-42";"";"sch261@sch261.edu.ru";"37,48004";"55,73503";"86660661";
22;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 262";"121108 Москва, ул. Кастанаевская, д. 45";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 144-54-49; (499) 144-48-74; (499) 146-55-36; (499) 146-64-14";"http//:sch262.zao.mskobr.ru";"school262admin@mail.ru";"37,464702";"55,732352";"86660662";
23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 323";"119415 г.Москва, проспект Вернадского, д. 57";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 431-19-82";"sch323.mskzapad.ru";"school323@inbox.ru";"37,573119";"55,896899";"86660663";
24;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389";"121351, г.Москва, ул. Партизанская, д. 39";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 141-45-19; (499) 141-65-62";"sch389.mskzapad.ru";"sch389@gmail.com";"37,404436";"55,738482";"86660666";
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 391";"121471  г.Москва,ул. Гжатская, д. 6";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 440-13-24";"sch391.mskzapad.ru";"ms391@narod.ru";"37,440425";"55,715802";"86660667";
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 589";"121596 г.Москва, ул. Говорова, д. 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-20-79";"sch589.mskzapad.ru";"sch589@bk.ru";"37,394167";"55,718247";"86660669";
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 590";"121096 г.Москва, ул. Кастанаевская, д. 10";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 148-22-96";"sch590.mskzapad.ru";"school590zao@mail.ru";"37,495463";"55,740448";"86660670";
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 591";"121095 г.Москва, Украинский бульвар, дом 9";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 240-11-56";"sch591.mskzapad.ru";"sch591@mail.ru";"37,567907";"55,747581";"86660671";
29;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 598";"119602 г.Москва, ул. Академика Анохина, д.36";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 430-31-07";"sch598.mskzapad.ru";"school598@yandex.ru";"37,467263";"55,658694";"86660672";
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 665";"121151, г.Москва, ул Студенческая, д. 24";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 766-16-52";"sch665.mskzapad.ru";"shkola1@rdm.ru";"37,546786";"55,742973";"86660673";
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 700";"121096 г.Москва, ул.Барклая, д. 5 А";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"142-39-22";"sch700.mskzapad.ru";"sch700_tv@mail.ru";"37,502149";"55,739001";"86660674";
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 713";"121614 г.Москва, ул. Крылатские холмы, д. 45, корп.1";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"412-67-77";"sch713.mskzapad.ru";"school713@mail.ru";"37,41192";"55,76233";"86660676";
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 714";"121354 г.Москва, ул. Кубинка, д.20, корп.1";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-45-58";"sch714.mskzapad.ru";"school714@list.ru";"37,408286";"55,723063";"86660677";
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 731";"121500 г.Москва, ул. Новорублевская, д.1";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 727-22-34";"sch731.mskzapad.ru/";"school731@mail.ru";"37,361714";"55,78705";"86660678";
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 732";"121467 Москва, ул. Ельнинская, д.10";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 141-75-83";"sch732.mskzapad.ru";"sch732@mail.ru";"37,427398";"55,736784";"86660679";
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 737";"121309 Москва,ул. Новозаводская д. 19";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 148-54-42; (499) 148-36-61; (499) 148-14-47; (499) 148-35-27";"sch737.mskzapad.ru";"MoscowSchool737@yandex.ru";"37,504309";"55,752147";"86660680";
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 749";"121351 г.Москва, ул.Партизанская, д. 11";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 417-23-74; (495) 417-23-84; (495) 417-22-93; (495) 417-25-15";"sch749.mskzapad.ru";"schkola749@yandex.ru";"37,410639";"55,730784";"86660681";
38;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 800";"121596 г.Москва, ул. Толбухина, д. 7, к.3";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-50-00";"sch800.mskzapad.ru";"leca21@yandex.ru";"37,397847";"55,719405";"86660682";
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 806";"121351 г.Москва, ул. Полоцкая, д. 21";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"417-92-20";"sch806.mskzapad.ru";"school_806@mail.ru";"37,423309";"55,732653";"86660683";
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 807";"119526  г.Москва, пр-т Вернадского, д. 101, корпус 6";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"433-33-11";"";"school807@mail.ru";"37,490393";"55,663481";"86660684";
41;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 808";"121351 г.Москва, Ивана Франко, д. 28 корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"443-99-85";"sch808.mskzapad.ru";"sch808@yandex.ru";"37,427231";"55,729155";"86660685";
42;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 809";"121596 г.Москва, Можайское шоссе, д. 50";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-18-04";"sch809.mskzapad.ru";"school809@yandex.ru";"37,404934";"55,717353";"86660686";
43;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 811";"121353, г.Москва, ул.Беловежская, д.7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-23-94";"sch811.mskzapad.ru";"school811@mail.ru";"37,399562";"55,711761";"86660687";
44;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 843";"119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 437-40-92";"sch843.mskzapad.ru";"school843@mail.ru";"37,457237";"55,670955";"86660688";
45;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 875";"119526 г. Москва, проспект Вернадского, д. 101, корпус 5";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 433-90-31; (495) 433-80-10; (495) 433-90-40";"sch875.mskzapad.ru";"school-875@mail.ru";"37,491445";"55,664361";"86660689";
46;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 887";"121467 г. Москва, ул. Молдавская, д. 6, корпус 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 444-72-53";"sch887.mskzapad.ru";"s887@mail.ru";"37,439682";"55,732132";"86660690";
47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 888";"121374 г.Москва, ул. Ращупкина, д.3";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"443-73-93";"sch888.mskzapad.ru";"sch888@mail.ru";"37,443985";"55,724762";"86660691";
48;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000";"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33";"sch1000.mskzapad.ru";"school1000@mail.ru";"37,412584";"55,654444";"86660692";
49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1001";"119620 г.Москва, Солнцевский проспект, д. 16 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-22-54";"sch1001.mskzapad.ru";"1001sch@inbox.ru";"37,403636";"55,652997";"86660693";
50;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1002";"119620 г.Москва, Солнцевский проспект, д. 12 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-28-44; (495) 435-01-25";"sch1002.mskzapad.ru";"school1002@mail.ru";"37,401933";"55,652362";"86660694";
51;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1003";"119618 г.Москва, ул 50 лет Октября, д. 13 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-95-16";"sch1003.mskzapad.ru";"shcool1003@mail.ru";"37,413764";"55,652634";"86660695";
52;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1004";"119618 г.Москва, ул 50 лет Октября, д. 14 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-83-42";"sch1004.mskzapad.ru";"school_1004@mail.ru";"37,409162";"55,657666";"86660696";
53;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1007";"119620 г. Москва, Солнцевский проспект, дом 7 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-99-32";"sch1007.mskzapad.ru";"sch1007@yandex.ru";"37,398732";"55,649009";"86660697";
54;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 1011";"119620 г.Москва, ул. Щорса, д. 6, корпус 1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 934-12-35";"sch1011.mskzapad.ru";"sch1011@yandex.ru";"37,401337";"55,646224";"86660699";
55;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1014";"119633 Москва, ул.Новопеределкинская, дом 13, к.1";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"733-54-70";"sch1014.mskzapad.ru";"shkola1014@yandex.ru";"37,362237";"55,640052";"86660700";
56;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1015";"199633 г.Москва, ул.Новопеределкинская, д.9, корп.1";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"733-54-68";"sch1015.mskzapad.ru";"school1015@rambler.ru";"37,363526";"55,639366";"86660701";
57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1017";"119634 г. Москва, ул. Федосьинская, д.4, кор.2";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 732-98-74";"sch1017.mskzapad.ru";"sch1017zao@yandex.ru";"37,703732";"55,868781";"86660702";
58;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1018";"119634 г.Москва, ул. Шолохова, д.20";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 733-52-10; (495) 733-52-11; (495) 732-61-33";"sch1018.mskzapad.ru";"sch1018@mail.ru";"37,350975";"55,641241";"86660703";
59;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1114";"121601 г.Москва, Филевский бульвар, д. 3,стр.1";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 738-60-54";"sch1114.mskzapad.ru";"s1114@yandex.ru";"37,484306";"55,764558";"86660704";
60;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1118";"119590 г.Москва, ул. Довженко, д.10";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"147-25-54";"sch1118.mskzapad.ru/";"school1118@mail.ru";"37,511696";"55,720742";"86660705";
61;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1119";"119607 г.Москва, ул. Раменки, д. 15, к.2";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"931-46-55";"sch1119.mskzapad.ru";"school-1119@mail.ru";"37,497313";"55,689105";"86660706";
62;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1127";"121609 г.Москва, ул. Крылатские холмы, д. 13";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-77-55";"sch1127.mskzapad.ru";"sch1127@mail.ru";"37,419263";"55,750454";"86660707";
63;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1133";"121609 г.Москва, ул. Крылатские холмы, д.15,корп.1";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-02-24";"sch1133.mskzapad.ru/";"sch1133@mail.ru";"37,417737";"55,751119";"86660708";
64;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 1195";"121354 г.Москва, ул. Дорогобужская, д.13";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"444-65-62";"sch1195.mskzapad.ru";"sch1195@mail.ru";"37,415939";"55,71633";"86660710";
