ROWNUM;CommonName;FullName;ShortName;AdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;MainHallCapacity;AdditionalHallCapacity;X_WGS;Y_WGS;GLOBALID;
15;"Театр «Около дома Станиславского»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр Около дома Станиславского»";"ГБУК г. Москвы «Московский театр Около дома Станиславского»";"Центральный административный округ";"Пресненский район";"Вознесенский переулок, дом 9A";"Заславский Константин Яковлевич";"директор";"(495) 695-39-85";"(495) 695-37-21";"2411576@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"11348674";"7703068710";"66";"";"37.603882";"55.758535";"87036504";
16;"Театр сатиры";"Государственное бюджетное учреждение культуры города Москвы «Московский академический театр сатиры»";"ГБУК г. Москвы «Московский академический театр сатиры»";"Центральный административный округ";"Тверской район";"Триумфальная площадь, дом 2, строение 1";"Агаев Мамед Гусейнович";"директор";"(495) 699-64-93; (495) 699-47-54";"(495) 911-84-60";"cbs7cao@mail.ru";"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";"Указан режим работы касс. Ежедневно перерыв с 15.00 до 16.00.";"satire.ru";"32485200";"7709034517";"1206";"150";"37.671396";"55.735301";"87036484";
17;"Театр оперетты";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический театр оперетты»";"ГБУК г. Москвы «Московский государственный академический театр оперетты»";"Центральный административный округ";"Тверской район";"улица Гончарова, дом 13";"Тартаковский Владимир Израилевич";"директор";"(495) 692-08-51; (495) 692-52-08";"(495) 692-88-96";"operettabuh@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mosoperetta.ru";"2190097";"7707086767";"1431";"";"37.586256";"55.815698";"87036510";
18;"Музыкальный театр юного актера";"Государственное бюджетное учреждение культуры города Москвы «Детский музыкальный театр юного актера»";"ГБУК г. Москвы «Детский музыкальный театр юного актера»";"Центральный административный округ";"Тверской район";"улица Малая Дмитровка, дом 8, строение 4";"Федоров Александр Львович";"директор";"(495) 699-71-26";"(495) 699-71-26";"ta-ko-ma@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"45324875";"7707120908";"88";"";"37.607129";"55.768159";"87036539";
19;"Театр «АпАРТе»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «АпАРТе»";"ГБУК г. Москвы «МДТ «АпАРТе»";"Центральный административный округ";"Пресненский район";"Тверской бульвар, дом 8, строение 1";"Сигорских Иван Афанасьевич";"директор";"(495) 695-78-76; (495) 691-59-08";"(495) 691-59-08";"aparte@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"aparte.ru";"35257209";"7703051763";"27";"100";"37.600447";"55.758683";"87036481";
20;"Театр Моссовета";"Государственное бюджетное учреждение культуры города Москвы «Государственный академический театр имени Моссовета»";"ГБУК г. Москвы «Театр им. Моссовета»";"Центральный административный округ";"Пресненский район";"Большая Садовая улица, дом 16";"Панфилова Валентина Тихоновна";"директор";"(495) 699-27-66; (495) 699-64-21";"(495) 699-27-66";"info@mossoveta.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mossoveta.ru";"2190200";"7710040730";"1084";"120";"37.59746";"55.768333";"87036482";
21;"Театр на Малой Бронной";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр на Малой Бронной»";"ГБУК г. Москвы «МДТ на Малой Бронной»";"Центральный административный округ";"Пресненский район";"Малая Бронная улица, дом 4, строение 2";"Чернышев Константин Витальевич";"директор";"(495) 690-19-48; (495) 690-57-67";"(495) 690-57-67";"mbronnaya@theatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mbronnaya.ru";"2190140";"7703001970";"607";"";"37.597769";"55.759359";"87036483";
22;"Театр «Современник»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Современник»";"ГБУК г. Москвы «Московский театр «Современник»";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 19, строение 1";"Бакулев Владимир Всеволодович";"директор";"(495) 621-25-43; (495) 621-66-29";"(495) 625-52-20";"nadezhdina@sovremennik.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"sovremennik.ru";"2190128";"7701046341";"776";"137";"37.646161";"55.761877";"87036485";
23;"Театр юного зрителя";"Государственное бюджетное учреждение культуры города Москвы «Московский театр юного зрителя»";"ГБУК г. Москвы «Московский театр юного зрителя»";"Центральный административный округ";"Тверской район";"Мамоновский переулок, дом 8, строение 3";"Литвак Марк Дмитриевич";"директор";"(495) 699-87-06; (495) 699-26-05; (495) 699-99-17";"(495) 699-26-05";"mtyz@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"moscowtyz.ru";"2190001";"7710130279";"593";"100";"37.599566";"55.766055";"87036486";
24;"Театр кукол";"Государственное бюджетное учреждение культуры города Москвы «Московский театр кукол»";"ГБУК г. Москвы «Московский театр кукол»";"Центральный административный округ";"Басманный район";"Спартаковская улица, дом 26/30";"Папиш Григорий Леонидович";"директор";"(499) 261-94-24; (499) 261-34-42";"(499) 261-34-42";"teatrkukol@list.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrkukol.ru";"2190016";"7701109200";"243";"81";"37.677666";"55.772683";"87036487";
25;"Театр «Сфера»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Сфера»";"ГБУК г. Москвы «МДТ «Сфера»";"Центральный административный округ";"Тверской район";"улица Каретный Ряд, дом 3, строение 6";"Тарасова Ирина Ольгердовна";"директор";"(495) 699-02-93; (495) 699-81-12";"(495) 699-96-27; (495) 699-81-12";"sfera-teatr@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"spheratheatre.ru";"2701184";"7707085481";"142";"70";"37.6093";"55.770787";"87036488";
26;"Театр «Новая Опера» имени Колобова";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Новая Опера» имени Е. В. Колобова»";"ГБУК г. Москвы «Московский театр «Новая Опера» им. Е. В. Колобова»";"Центральный административный округ";"район Арбат";"улица Каретный Ряд, дом 3, строение 2";"Лысенко Сергей Александрович";"директор";"(495) 694-22-55; (495) 694-11-09";"(495) 694-11-09";"info@novayaopera.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"novayaopera.ru";"8105805";"7704249283";"660";"";"37.609051";"55.771602";"87036511";
27;"Театр «Геликон-опера Дмитрия Бертмана»";"Государственное бюджетное учреждение культуры города Москвы «Московский музыкальный театр «Геликон-опера под руководством Дмитрия Бертмана»";"ГБУК г. Москвы «ММТ «Геликон-опера»";"Центральный административный округ";"Пресненский район";"улица Новый Арбат, дом 11, строение 2";"Павлова Виктория Викторовна";"директор";"(495) 690-36-32; (495) 690-09-71; (495) 691-85-70; (495) 691-51-30";"(495) 690-09-71";"plicik@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"helikon.ru";"41989856";"7703063504";"189";"36";"37.596483";"55.751788";"87036512";
28;"Театр для детей и юношества «На Басманной»";"Государственное бюджетное учреждение культуры города Москвы «Московский музыкальный театр для детей и юношества «На Басманной»";"ГБУК г. Москвы «Московский музыкальный театр «На Басманной»";"Центральный административный округ";"Басманный район";"1-й Басманный переулок, дом 12";"Архипов Юрий Александрович";"директор";"(495) 607-60-80; (495) 607-67-48; (495) 607-40-28";"(495) 607-67-48";"muzteatr@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"mteatr.ru";"55281629";"7701258410";"";"";"37.66393";"55.771662";"87036513";
29;"Театр Стаса Намина";"Государственное бюджетное учреждение культуры города Москвы «Московский театр музыки и драмы под руководством Стаса Намина»";"ГБУК г. Москвы «Театр Стаса Намина»";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 9";"Микоян Анастас Алексеевич";"директор";"(495) 236-27-16; (499) 236-27-09; (495) 954-24-12";"(495) 954-24-12";"theatre@stasnamintheatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"stasnamentheatre.ru";"33703774";"7723316672";"144";"";"37.604887";"55.731455";"87036514";
30;"Школа современной пьесы";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Школа современной пьесы»";"ГБУК г. Москвы «Московский театр «Школа современной пьесы»";"Центральный административный округ";"Тверской район";"Неглинная улица, дом 29/14";"Райхельгауз Иосиф Леонидович";"директор";"(495) 694-68-34; (495) 694-10-21; (495) 694-07-38; (495) 694-07-38";"(495) 694-10-21";"kamila@neglinka.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"34595861";"7707064139";"350";"142";"37.620927";"55.766794";"87036520";
31;"Театр «У Никитских ворот»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «У Никитских ворот»";"ГБУК г. Москвы «Московский театр «У Никитских ворот»";"Центральный административный округ";"Пресненский район";"Большая Никитская улица, дом 23";"Ревзина Татьяна Иосифовна";"директор";"(495) 691-84-19; (495) 695-56-44; (495) 691-07-94; (495) 691-95-38";"(495) 691-84-19; (495) 691-95-38";"info2@teatr-unik.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrunikitskihvorot.ru";"3812974";"7703093185";"50";"";"37.599381";"55.757095";"87036521";
32;"Творческая мастерская А. Рыбникова";"Государственное бюджетное учреждение культуры города Москвы «Московская государственная творческая мастерская под руководством Алексея Рыбникова»";"ГБУК г. Москвы «МГТМ п/р А. Рыбникова»";"Центральный административный округ";"район Арбат";"Большой Ржевский переулок, дом 11";"Блинов Владимир Иванович";"директор";"(495) 690-40-16; (495) 690-38-55; (495) 690-40-23";"(495) 690-40-23";"mocmgtm@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"alexeyrybnikov.ru";"51023468";"7704198381";"";"";"37.591889";"55.754515";"87036522";
33;"Русский духовный театр «Глас»";"Государственное бюджетное учреждение культуры города Москвы «Русский духовный театр «Глас»";"ГБУК г. Москвы «Русский духовный театр «Глас»";"Центральный административный округ";"район Замоскворечье";"Пятницкая улица, дом 60";"Белевич Татьяна Георгиевна";"директор";"(495) 959-17-40";"(495) 959-17-40";"teatrglas@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"theatreglas.ru";"28912688";"7702069567";"62";"";"37.627001";"55.733246";"87036523";
34;"Театр миниатюр";"Государственное бюджетное учреждение культуры города Москвы «Московский театр миниатюр»";"ГБУК г. Москвы «Московский театр миниатюр»";"Центральный административный округ";"Тверской район";"1-я Тверская-Ямская улица, дом 16";"Жванецкий Михаил Маньевич";"директор";"(499) 250-38-93; (499) 250-37-21; (499) 251-24-87";"(499) 251-24-87";"humorboss@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"4583582";"7710046309";"";"";"37.606691";"55.764568";"87036524";
35;"Детский театр марионеток";"Государственное бюджетное учреждение культуры города Москвы «Московский детский театр марионеток»";"ГБУК г. Москвы «Московский детский театр марионеток»";"Центральный административный округ";"Басманный район";"Малый Харитоньевский переулок, дом 7, строение 2";"Аладухов Андрей Владимирович";"директор";"(495) 624-29-65";"(495) 624-29-65";"marionetki@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"marionetki.ru";"18652683";"7701199901";"60";"";"37.645816";"55.765912";"87036541";
36;"Театр детской книги «Волшебная лампа»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр детской книги «Волшебная лампа»";"ГБУК г. Москвы «Московский театр детской книги «Волшебная лампа»";"Центральный административный округ";"Красносельский район";"Сретенский бульвар, дом 9/2, строение 1";"Грибанова Марина Борисовна";"директор";"(495) 625-69-93; (495) 625-91-63";"(495) 625-89-45";"marina.gribanowa@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"magiclamp.ru";"49881466";"7708107804";"80";"";"37.635004";"55.766753";"87036542";
37;"Театр художественной публицистики";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр художественной публицистики»";"ГБУК г. Москвы «МДТ художественной публицистики»";"Центральный административный округ";"Красносельский район";"Русаковская улица, дом 8, строение 3";"Живейнова Елена Леонидовна";"директор";"(499) 264-60-31";"(499) 264-60-31";"teatr-thp@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrthp.ru";"59042347";"7704242545";"";"";"37.673993";"55.781987";"87036543";
38;"Детский сказочный театр";"Государственное бюджетное учреждение культуры города Москвы «Московский детский Сказочный театр»";"ГБУК г. Москвы «Московский детский Сказочный театр»";"Центральный административный округ";"Таганский район";"Большой Факельный переулок, дом 18, строение 3";"Миленина Ирина Петровна";"директор";"(495) 911-04-38; (495) 912-28-78";"(495) 912-75-54; (495) 912-28-78";"skaz.teatr@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-skazka.ru";"49886162";"7709264045";"100";"";"37.664448";"55.741323";"87036544";
39;"Детский театр эстрады";"Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады»";"ГБУК г. Москвы «Детский театр эстрады»";"Центральный административный округ";"Басманный район";"Бауманская улица, дом 32, строение 1";"Овсянников Валентин Валентинович";"директор";"(495) 632-16-22; (495) 632-18-44";"(495) 632-18-44";"mdte@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"vstudio.ru";"39549995";"7710042865";"220";"";"37.678218";"55.772585";"87036545";
40;"Театр «Модернъ»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Модернъ»";"ГБУК г. Москвы «МДТ «Модернъ»";"Центральный административный округ";"Басманный район";"Спартаковская площадь, дом 9/1А";"Врагова-Гюрджян Светлана Александровна";"директор";"(499) 267-73-86; (499) 267-93-78; (499) 267-71-87; (499) 267-46-01";"(499) 267-73-86; (499) 267-93-78";"teatrm@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"modern-theatre.ru";"3845465";"7701127897";"231";"178";"37.682179";"55.776789";"87036525";
41;"Театр «Вишневый сад» под руководством Вилькина";"Государственное бюджетное учреждение культуры города Москвы «Московский театральный центр «Вишневый сад» под руководством Александра Вилькина»";"ГБУК г. Москвы «МТЦ «Вишневый сад» п/р А. Вилькина»";"Центральный административный округ";"район Арбат";"улица Арбат, дом 35";"Вилькин Александр Михайлович";"директор";"(499) 248-11-62; (499) 795-91-92; (499) 248-43-73";"(499) 248-11-62";"gardencherry@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"vishnevii-sad.ru";"4583599";"7704132084";"240";"130";"37.591284";"55.749028";"87036526";
