"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"39";"ГБУК города Москвы «ОКЦ САО» Библиотека №32";"Северный административный округ";"район Аэропорт";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Степана Супруна, дом 12, корпус 3";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.797468";"37.545536";"880036083";"";"";
"83";"ГБУК города Москвы «ОКЦ ЮАО» Детская библиотека №155";"Южный административный округ";"район Орехово-Борисово Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Гурьевский проезд, дом 15, корпус 2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.607159";"37.746698";"880036084";"";"";
"84";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №105";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Тихорецкий бульвар, дом 12, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.677697";"37.774454";"880036086";"";"";
"41";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №127";"Юго-Восточный административный округ";"район Текстильщики";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Чистова, дом 15/15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.697275";"37.744900";"880036087";"";"";
"85";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №106";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Шатурская улица, дом 49, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.726847";"37.774360";"880036088";"";"";
"42";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №120";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Ухтомская улица, дом 21";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.767423";"37.715668";"880036089";"";"";
"86";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №107";"Юго-Восточный административный округ";"Нижегородский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Перовское шоссе, дом 16/2";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.736133";"37.751421";"880036090";"";"";
"43";"ГБУК города Москвы «ОКЦ САО» Библиотека №44 имени Владимира Галактионовича Короленко";"Северный административный округ";"Головинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Фестивальная улица, дом 46, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.862676";"37.512955";"880036091";"";"";
"87";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №109";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Ферганский проезд, дом 3, корпус 3";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.695995";"37.826060";"880036092";"";"";
"88";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №109";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Волгоградский проспект, дом 191";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.693125";"37.818714";"880036098";"";"";
"89";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №121";"Юго-Восточный административный округ";"Южнопортовый район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Трофимова, дом 29";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.702850";"37.681029";"880036099";"";"";
"90";"ГБУК города Москвы «ОКЦ ЮВАО» Библиотека №132";"Юго-Восточный административный округ";"район Печатники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, Батюнинская улица, дом 14";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.659856";"37.705221";"880036101";"";"";
"2";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №163";"Южный административный округ";"Даниловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 3-й Павловский переулок, дом 14";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.718344";"37.630149";"880036102";"";"";
"91";"ГБУК города Москвы «ОКЦ ВАО» Библиотека №83";"Восточный административный округ";"район Измайлово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 7-я Парковая улица, дом 27";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.802224";"37.793337";"880036103";"";"";
"92";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №200 «Истоки»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Ивана Франко, дом 32, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.728089";"37.421488";"880036104";"";"";
"3";"ГБУК города Москвы «ОКЦ ВАО» Библиотека №87";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, 9-я улица Соколиной Горы, дом 17";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.773160";"37.736006";"880036105";"";"";
"55";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №216";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Лобачевского, дом 100";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.684772";"37.481702";"880036106";"";"";
"56";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №220";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, улица Наташи Ковшовой, дом 7/1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.683539";"37.453944";"880036107";"";"";
"4";"ГБУК города Москвы «ОКЦ ЗАО» Библиотека №210 Культурный центр Алесандра Трифоновича Твардовского";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Аминьевское шоссе, дом 24";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.715920";"37.452974";"880036108";"";"";
"57";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №185";"Юго-Западный административный округ";"район Котловка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, Нагорный бульвар, дом 3";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.674707";"37.592976";"880036109";"";"";
"5";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №20 имени Дельвига";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Аптекарский переулок, дом 8/2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.768115";"37.676244";"880036110";"";"";
"58";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №186 имени Сергея Александровича Есенина";"Юго-Западный административный округ";"Академический район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 15, корпус 5";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.680458";"37.572603";"880036111";"";"";
"6";"ГБУК города Москвы «ОКЦ ЮАО» Библиотека №148 имени Федора Ивановича Тютчева";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Артековская улица, дом 2, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.650510";"37.612847";"880036113";"";"";
"59";"ГБУК города Москвы «ОКЦ ЮЗАО» Библиотека №190";"Юго-Западный административный округ";"район Коньково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, улица Миклухо-Маклая, дом 40, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.638729";"37.538494";"880036114";"";"";
"7";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №1 имени Грибоедова";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Банный переулок, дом 4, строение 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.785675";"37.637811";"880036115";"";"";
"60";"ГБУК города Москвы «ОКЦ СЗАО» Библиотека №244";"Северо-Западный административный округ";"район Щукино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Народного Ополчения, дом 37, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.790570";"37.487748";"880036116";"";"";
"8";"ГБУК города Москвы «Центральная универсальная научная библиотека имени Николая Алексеевича Некрасова»";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 58/25, строение 14";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.767099";"37.678658";"880036117";"";"";
"61";"ГБУК города Москвы «ОКЦ СЗАО» Библиотека №248";"Северо-Западный административный округ";"район Строгино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Маршала Катукова, дом 19, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.807946";"37.410151";"880036118";"";"";
"62";"ГБУК города Москвы «ОКЦ СЗАО» Библиотека №248";"Северо-Западный административный округ";"район Строгино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Маршала Катукова, дом 11, корпус 2";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.811346";"37.405247";"880036119";"";"";
"9";"ГБУК города Москвы «ОКЦ ЗАО» Детская библиотека №211 «Пионер»";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Большая Дорогомиловская улица, дом 7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.746051";"37.556927";"880036121";"";"";
"63";"ГБУК города Москвы «ОКЦ САО» Библиотека №21";"Северный административный округ";"Войковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Космонавта Волкова, дом 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.815822";"37.505921";"880036122";"";"";
"10";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №13 имени Николая Гавриловича Чернышевского";"Центральный административный округ";"район Замоскворечье";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Татарская улица, дом 32";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738328";"37.633113";"880036123";"";"";
"64";"ГБУК города Москвы «ОКЦ САО» Библиотека №24";"Северный административный округ";"район Сокол";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Новопесчаная улица, дом 23, корпус 7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.792989";"37.512999";"880036124";"";"";
"65";"ГБУК города Москвы «ОКЦ САО» Библиотека №33";"Северный административный округ";"район Беговой";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, 1-й Боткинский проезд, дом 4";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.782972";"37.556972";"880036125";"";"";
"66";"ГБУК города Москвы «ОКЦ ЦАО» Библиотека №2 имени Юрия Валентиновича Трифонова";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 63, строение 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.783119";"37.594845";"880036126";"";"";
"12";"ГБУК города Москвы «ОКЦ ЦАО» «Центральная библиотека №15 имени Василия Осиповича Ключевского";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большой Факельный переулок, дом 3, строение 2";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.742630";"37.663692";"880036127";"";"";
"67";"ГБУК города Москвы «ОКЦ ВАО» Библиотека №96";"Восточный административный округ";"район Новогиреево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Свободный проспект, дом 24";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749841";"37.815363";"880036128";"";"";
"13";"ГБУК города Москвы «ОКЦ ЮАО» Детская Библиотека №158";"Южный административный округ";"район Чертаново Южное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Дорожная улица, дом 20, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.603303";"37.622073";"880036129";"";"";
"68";"ГБУК города Москвы «ОКЦ ВАО» Библиотека №82";"Восточный административный округ";"район Восточное Измайлово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, Измайловский проспект, дом 83";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.788970";"37.801664";"880036130";"";"";
"14";"ГБУК города Москвы «ОКЦ СВАО» Библиотека №60 имени Осипа Эмильевича Мандельштама";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Звёздный бульвар, дом 4";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.817835";"37.635503";"880036131";"";"";
